id,event_id,pitcher_name,line,over_odds,under_odds,bookmaker,timestamp,Date,expected_innings,projected_ks,edge_over,edge_under
110,381e3e3b5901cff440a163713a30176b,Dean Kremer,4.5,-101,-131,pinnacle,00:00.0,5/14/2025,5.5,4.85,0.0768,-0.1464
111,381e3e3b5901cff440a163713a30176b,Bailey Ober,5.5,100,-132,pinnacle,00:00.0,5/14/2025,5.4,5.67,0.0387,-0.1077
112,ca3382748d158a9f8c614fa61f754c94,Jesus Luzardo,5.5,-161,121,pinnacle,00:00.0,5/14/2025,5.88,5.8,-0.0488,-0.0205
113,ca3382748d158a9f8c614fa61f754c94,Erick Fedde,4.5,-101,-131,pinnacle,00:00.0,5/14/2025,5.78,5.29,0.1717,-0.2413
114,6e7cda3e00bc66f9ea37cb8d7e2272d3,Gavin Williams,5.5,-104,-128,pinnacle,00:00.0,5/14/2025,4.62,4.75,-0.1757,0.1045
115,2b46c9823e4e79631d7e53e2a3ff96f3,Eduardo Rodriguez,4.5,-176,132,pinnacle,00:00.0,5/14/2025,5.03,4.87,-0.054,-0.0148
116,2b46c9823e4e79631d7e53e2a3ff96f3,Jordan Hicks,4.5,107,-142,pinnacle,00:00.0,5/14/2025,5.4,4.24,-0.0421,-0.0277
117,e1d4c0eb129bcf8389d63d08ddd164bb,Luis Castillo,4.5,-177,132,pinnacle,00:00.0,5/14/2025,5.4,6.33,0.2132,-0.2832
118,e1d4c0eb129bcf8389d63d08ddd164bb,Will Warren,5.5,123,-164,pinnacle,00:00.0,5/14/2025,4.5,4.83,-0.0975,0.0279
119,ee9f59e8c63b271a3e4a96e15df58ee2,Hunter Dobbins,4.5,126,-169,pinnacle,00:00.0,5/14/2025,5.55,4.57,0.0735,-0.1442
120,ee9f59e8c63b271a3e4a96e15df58ee2,Tarik Skubal,7.5,-109,-121,pinnacle,00:00.0,5/14/2025,5.9,7.01,-0.1318,0.0627
121,7e3e69cc0f972e4625c27cbacf66ad01,Chris Bassitt,5.5,-111,-119,pinnacle,00:00.0,5/14/2025,5.65,5.52,-0.0215,-0.0479
122,7e3e69cc0f972e4625c27cbacf66ad01,Ryan Pepiot,4.5,117,-156,pinnacle,00:00.0,5/14/2025,5.51,4.94,0.1384,-0.2086
123,e0c78c1e1d915b5b90074681eef87cf5,Clay Holmes,5.5,-115,-115,pinnacle,00:00.0,5/14/2025,5.3,5.39,-0.0599,-0.0098
124,e0c78c1e1d915b5b90074681eef87cf5,Bailey Falter,3.5,-118,-112,pinnacle,00:00.0,5/14/2025,5.4,4.33,0.1411,-0.2107
125,d4cb3320b68b71ce7f16615f67fb5152,Davis Martin,4.5,123,-164,pinnacle,00:00.0,5/14/2025,5.5,5.1,0.1857,-0.2554
126,d4cb3320b68b71ce7f16615f67fb5152,Nick Lodolo,5.5,-132,100,pinnacle,00:00.0,5/14/2025,5.8,6.8,0.2023,-0.2712
127,7097f15490db799f47fa154f06fb5ed4,Mitchell Parker,4.5,134,-183,pinnacle,00:00.0,5/14/2025,5.6,4.88,0.1586,-0.2326
128,7097f15490db799f47fa154f06fb5ed4,Bryce Elder,4.5,115,-153,pinnacle,00:00.0,5/14/2025,5.4,4.21,-0.0309,-0.0389
129,eb57f699d49fb50479f8b16b6cffac98,Jameson Taillon,5.5,-102,-130,pinnacle,00:00.0,5/14/2025,5.4,4.64,-0.1934,0.1232
130,eb57f699d49fb50479f8b16b6cffac98,Ryan Weathers,3.5,-111,-119,pinnacle,00:00.0,5/14/2025,5,4.07,0.1016,-0.1711
131,7f93efa41a714a075121e63c012bb4df,Patrick Corbin,5.5,101,-134,pinnacle,00:00.0,5/14/2025,5.2,5.41,-0.018,-0.0521
132,7f93efa41a714a075121e63c012bb4df,Antonio Senzatela,2.5,-175,131,pinnacle,00:00.0,5/14/2025,4.87,3.27,0.0337,-0.1029
133,b9ea21529144321ca07839eed528cac7,Kyle Hendricks,2.5,-147,111,pinnacle,00:00.0,5/14/2025,5,2.94,0.0041,-0.0732
134,b9ea21529144321ca07839eed528cac7,Randy Vasquez,4.5,-119,-111,pinnacle,00:00.0,5/14/2025,4.7,4.02,-0.1514,0.082
135,36afa590b29c6581afe35e47cbdbe652,Gunnar Hoglund,4.5,143,-197,pinnacle,00:00.0,5/14/2025,4,2.63,-0.2689,0.1941
136,36afa590b29c6581afe35e47cbdbe652,Yoshinobu Yamamoto,5.5,-161,120,pinnacle,00:00.0,5/14/2025,5.6,6.28,0.0552,-0.1266
