pitcher_name,line,over_odds,under_odds,bookmaker,timestamp,Date,expected_innings,projected_ks,edge_over,edge_under
Logan Allen,4.5,123,-164,pinnacle,5/13/2025 10:00,5/13/2025,5.33,3.93,-0.0761,0.0065
Quinn Priester,3.5,-101,-132,pinnacle,5/13/2025 10:00,5/13/2025,5.11,4.29,0.1717,-0.2431
Cade Povich,4.5,104,-138,pinnacle,5/13/2025 10:00,5/13/2025,5.15,4.78,0.0734,-0.1434
Simeon Woods Richardson,3.5,-177,132,pinnacle,5/13/2025 10:00,5/13/2025,5.25,4.35,0.0474,-0.1174
Brayan Bello,4.5,-128,-104,pinnacle,5/13/2025 10:00,5/13/2025,5.64,4.97,0.0445,-0.1157
Jesus Luzardo,5.5,-122,-109,pinnacle,5/13/2025 10:00,5/13/2025,5.72,5.47,-0.0564,-0.0147
Sonny Gray,5.5,-116,-114,pinnacle,5/13/2025 10:00,5/13/2025,5.97,6.62,0.2019,-0.2716
Jose Berrios,4.5,-171,128,pinnacle,5/13/2025 10:00,5/13/2025,5.96,5.15,0.0138,-0.0834
Shane Baz,5.5,134,-183,pinnacle,5/13/2025 10:00,5/13/2025,6.2,4.39,-0.1644,0.0904
Mitch Keller,4.5,-106,-124,pinnacle,5/13/2025 10:00,5/13/2025,5.63,5.47,0.1957,-0.2639
Kodai Senga,5.5,-191,142,pinnacle,5/13/2025 10:00,5/13/2025,6.01,7.7,0.2393,-0.3089
Michael Soroka,4.5,-102,-130,pinnacle,5/13/2025 10:00,5/13/2025,5.1,4.73,0.0473,-0.1175
Spencer Schwellenbach,5.5,-122,-109,pinnacle,5/13/2025 10:00,5/13/2025,6,5.85,0.0297,-0.1008
Valente Bellozo,3.5,-114,-116,pinnacle,5/13/2025 10:00,5/13/2025,5.77,4,0.0797,-0.1495
Ben Brown,6.5,-139,105,pinnacle,5/13/2025 10:00,5/13/2025,4.93,5.65,-0.268,0.1986
Kyle Freeland,3.5,-164,123,pinnacle,5/13/2025 10:00,5/13/2025,5.44,4.3,0.055,-0.1246
Jack Leiter,5.5,-139,105,pinnacle,5/13/2025 10:00,5/13/2025,5.22,6.46,0.1268,-0.1962
Kris Bubic,4.5,-129,-102,pinnacle,5/13/2025 10:00,5/13/2025,6.14,5.47,0.147,-0.2153
Framber Valdez,4.5,-173,130,pinnacle,5/13/2025 10:00,5/13/2025,6.05,5.55,0.092,-0.1605
Dylan Cease,7.5,-133,100,pinnacle,5/13/2025 10:00,5/13/2025,5.2,7.69,-0.0276,-0.0432
Jose Soriano,3.5,-117,-113,pinnacle,5/13/2025 10:00,5/13/2025,5.61,4.56,0.1885,-0.2582
Max Fried,5.5,-142,107,pinnacle,5/13/2025 10:00,5/13/2025,6.1,7.5,0.2867,-0.3565
Bryan Woo,5.5,-168,126,pinnacle,5/13/2025 10:00,5/13/2025,5.67,6.41,0.0716,-0.1409
