pitcher_name,line,over_odds,under_odds,bookmaker,timestamp,Date,expected_innings,projected_ks,edge_over,edge_under
Ben Brown,5.5,-146,110,pinnacle,5/19/2025 10:00,5/19/2025,4.58,5.5,-0.294,0.2243
Edward Cabrera,4.5,-142,107,pinnacle,5/19/2025 10:00,5/19/2025,4.85,5.14,-0.0075,-0.0624
Nick Lodolo,5.5,-103,-128,pinnacle,5/19/2025 10:00,5/19/2025,5.8,6.15,0.0607,-0.1295
Mitch Keller,5.5,-119,-111,pinnacle,5/19/2025 10:00,5/19/2025,5.78,5.19,0.0202,-0.0896
Kodai Senga,5.5,-125,-106,pinnacle,5/19/2025 10:00,5/19/2025,5.51,5.84,-0.0533,-0.0168
Hunter Dobbins,3.5,-122,-109,pinnacle,5/19/2025 10:00,5/19/2025,5.44,4.09,0.3166,-0.3877
Colton Gordon,4.5,159,-217,pinnacle,5/19/2025 10:00,5/19/2025,4,3.88,0.0014,-0.0721
Ryan Pepiot,5.5,126,-170,pinnacle,5/19/2025 10:00,5/19/2025,5.57,5.5,0.0735,-0.1456
Quinn Priester,3.5,-146,109,pinnacle,5/19/2025 10:00,5/19/2025,4.73,4.59,0.1654,-0.2374
Dean Kremer,4.5,119,-158,pinnacle,5/19/2025 10:00,5/19/2025,5.57,4.93,0.2729,-0.3419
Davis Martin,4.5,134,-182,pinnacle,5/19/2025 10:00,5/19/2025,5.46,5.17,0.281,-0.3537
Luis Castillo,5.5,100,-133,pinnacle,5/19/2025 10:00,5/19/2025,5.46,4.78,-0.0091,-0.0617
Bailey Ober,4.5,-157,117,pinnacle,5/19/2025 10:00,5/19/2025,5.34,4.66,0.0735,-0.1452
Logan Allen,3.5,-121,-110,pinnacle,5/19/2025 10:00,5/19/2025,5.14,4.29,0.2781,-0.3495
Sonny Gray,5.5,-148,111,pinnacle,5/19/2025 10:00,5/19/2025,5.56,6.33,-0.0831,0.0124
Cristopher Sanchez,5.5,-146,110,pinnacle,5/19/2025 10:00,5/19/2025,5.39,5.45,-0.1186,0.0489
Kyle Freeland,3.5,-115,-115,pinnacle,5/19/2025 10:00,5/19/2025,5.01,3.67,0.271,-0.3408
Kris Bubic,5.5,133,-181,pinnacle,5/19/2025 10:00,5/19/2025,6.01,5.27,0.1855,-0.2588
Robbie Ray,5.5,-119,-112,pinnacle,5/19/2025 10:00,5/19/2025,5.57,5.07,-0.0274,-0.0443
Jose Soriano,4.5,136,-186,pinnacle,5/19/2025 10:00,5/19/2025,5.78,5.68,0.344,-0.4181
Landon Knack,4.5,109,-145,pinnacle,5/19/2025 10:00,5/19/2025,4,3.8,-0.0909,0.0206
Brandon Pfaadt,4.5,-124,-107,pinnacle,5/19/2025 10:00,5/19/2025,5.58,4.84,0.1779,-0.2483
