id,event_id,pitcher_name,line,over_odds,under_odds,bookmaker,timestamp,Date,expected_innings,projected_ks,edge_over,edge_under
17,f337ba95da3179642a5782ab06b078ec,Bryce Elder,4.5,119,-159,pinnacle,30:00.0,5/8/2025,5.81,5.27,0.18,-0.25
18,ecf87cd8d320fbeed8245e598bd1992e,Patrick Corbin,4.5,-114,-116,pinnacle,30:00.0,5/8/2025,5.49,4.74,0.02,-0.1
20,fe3e8dc29347048c12b0e42752801b15,Jose Quintana,4.5,108,-144,pinnacle,30:00.0,5/8/2025,5.77,5.07,0.19,-0.26
21,fe3e8dc29347048c12b0e42752801b15,Zack Littell,3.5,-132,100,pinnacle,30:00.0,5/8/2025,5.99,5.72,0.35,-0.42
22,0dbedb1f7cdea52afbac03b1781b7122,Jameson Taillon,4.5,121,-162,pinnacle,30:00.0,5/8/2025,5.72,4.33,-0.01,-0.03
23,0dbedb1f7cdea52afbac03b1781b7122,Clay Holmes,4.5,-137,103,pinnacle,30:00.0,5/8/2025,5.27,4.78,-0.02,-0.02
24,96ea1691586dc7b181f4f9e197152f66,Aaron Nola,5.5,-115,-115,pinnacle,30:00.0,5/8/2025,6.07,5.5,-0.03,-0.04
25,96ea1691586dc7b181f4f9e197152f66,Gavin Williams,5.5,-131,-101,pinnacle,30:00.0,5/8/2025,5.45,5.57,-0.05,-0.02
26,f2c5b071df64527c6df02d2c0367adf1,Michael Lorenzen,4.5,-115,-115,pinnacle,30:00.0,5/8/2025,5.7,4.32,-0.07,0
27,f2c5b071df64527c6df02d2c0367adf1,Hunter Dobbins,3.5,125,-167,pinnacle,30:00.0,5/8/2025,5.51,3.68,0.08,-0.15
28,648e456ada8f5443e623cba81da02f0d,Bryse Wilson,3.5,-127,-104,pinnacle,30:00.0,5/8/2025,3.83,2.81,-0.23,0.16
29,648e456ada8f5443e623cba81da02f0d,Max Meyer,5.5,-142,107,pinnacle,30:00.0,5/8/2025,5.68,5.38,-0.14,0.06
30,886611734f46dc1b7108c08767b02db2,Hunter Brown,6.5,-144,108,pinnacle,30:00.0,5/8/2025,5.8,6.32,-0.15,0.08
31,f4393f1f87c657697c912cee8c4de802,Jordan Hicks,4.5,-126,-105,pinnacle,30:00.0,5/8/2025,5.32,4.61,0.02,-0.09
32,f4393f1f87c657697c912cee8c4de802,Chris Paddack,4.5,125,-167,pinnacle,30:00.0,5/8/2025,5.3,4.63,0.12,-0.19
33,21c587c14d3b51c2f727fadd08806c01,Antonio Senzatela,2.5,-106,-125,pinnacle,30:00.0,5/8/2025,5.34,2.79,0.07,-0.14
34,21c587c14d3b51c2f727fadd08806c01,Randy Vasquez,3.5,111,-148,pinnacle,30:00.0,5/8/2025,5.28,5.36,0.33,-0.4
35,8bcdaaabcd8bb27724296598eba24dcb,Tomoyuki Sugano,4.5,132,-176,pinnacle,30:00.0,5/8/2025,5.7,4.87,0.15,-0.22
36,8bcdaaabcd8bb27724296598eba24dcb,Kyle Hendricks,3.5,101,-135,pinnacle,30:00.0,5/8/2025,5.38,3.99,0.11,-0.18
37,5c26cbb0cee3b9803da9483d9be99b41,Eduardo Rodriguez,4.5,-152,113,pinnacle,30:00.0,5/8/2025,5.42,5.02,0.07,-0.13
38,5c26cbb0cee3b9803da9483d9be99b41,Roki Sasaki,3.5,-163,122,pinnacle,30:00.0,5/8/2025,4.91,5.39,0.26,-0.33
39,587fd22b4f9a6c8b00296d009e5f8a92,Kevin Gausman,5.5,-158,119,pinnacle,30:00.0,5/8/2025,5.74,6.81,0.18,-0.25
40,587fd22b4f9a6c8b00296d009e5f8a92,Luis Castillo,4.5,-128,-103,pinnacle,30:00.0,5/8/2025,5.74,3.63,-0.26,0.19
41,c54cfd6ec30331bdff90236bd82433f0,Osvaldo Bido,4.5,132,-176,pinnacle,30:00.0,5/8/2025,5.26,5.09,0.2,-0.27
42,c54cfd6ec30331bdff90236bd82433f0,Will Warren,4.5,-104,-127,pinnacle,30:00.0,5/8/2025,5.02,4.53,-0.04,-0.03
